Name,Gender,Department,Annual Salary,Location,Performance,Distance to Office,Age,Tenure in Company,Salary Category,Age Group,Distance Category,Experience,Rating
Jayshree Ashok Pande,Female,Accounting,562800,New Delhi,Poor,16,40,11.0,4LPA - 6LPA,Between 31-40,Between 10-20km,10-15 Years,2
Jeane Blaszczak,Female,Engineering,883800,New Delhi,Good,13,28,4.8,8LPA - 10LPA,Less than 30,Between 10-20km,2-5 Years,4
Jeannie Petracco,Female,Engineering,525900,Bengaluru,Good,21,41,5.9,4LPA - 6LPA,Greater than 40,Greater than 20km,5-10 Years,4
Jemimah Rodrigues,Female,Services,476500,Mumbai,Poor,7,40,1.8,4LPA - 6LPA,Between 31-40,Less than 10km,0-2 Years,2
Jessi Calterone,Male,Sales,723500,Mumbai,Good,28,26,0.8,6LPA - 8LPA,Less than 30,Greater than 20km,0-2 Years,4
Jessica Burditt,Female,Accounting,399400,Bengaluru,Average,2,38,2.4,2LPA - 4LPA,Between 31-40,Less than 10km,2-5 Years,3
Jessica Callcott,Female,Research and Development,281300,Mumbai,Poor,2,32,2.9,2LPA - 4LPA,Between 31-40,Less than 10km,2-5 Years,2
Jessika Jaycocks,Female,Engineering,694600,Mumbai,Very Good,27,27,6.2,6LPA - 8LPA,Less than 30,Greater than 20km,5-10 Years,5
Jhulan Goswami,Female,Services,1090300,Mumbai,Very Good,13,40,6.1,Greater than 10 LPA ,Between 31-40,Between 10-20km,5-10 Years,5
Jill Shipsey,Male,Product Management,664600,Bengaluru,Average,19,36,8.3,6LPA - 8LPA,Between 31-40,Between 10-20km,5-10 Years,3
Jillana Gabbitis,Male,Training,508100,Mumbai,Not Rated,18,37,2.6,4LPA - 6LPA,Between 31-40,Between 10-20km,2-5 Years,0
Jitendra Ramdas Bhosale,Male,Legal,1145100,New Delhi,Average,10,31,4.3,Greater than 10 LPA ,Between 31-40,Less than 10km,2-5 Years,3
Jiza Ann Thomas,Female,Business Development,862300,Mumbai,Poor,27,37,10.7,8LPA - 10LPA,Between 31-40,Greater than 20km,10-15 Years,2
Joana Bartocci,Male,Support,732400,New Delhi,Average,20,29,6.6,6LPA - 8LPA,Less than 30,Between 10-20km,5-10 Years,3
Jo-anne Gobeau,Female,Business Development,539200,New Delhi,Poor,9,34,12.6,4LPA - 6LPA,Between 31-40,Less than 10km,10-15 Years,2
Jobey Boneham,Female,Engineering,1136900,New Delhi,Average,12,41,3.8,Greater than 10 LPA ,Greater than 40,Between 10-20km,2-5 Years,3
Joli Jodrelle,Male,Business Development,1017900,Bengaluru,Average,20,38,11.0,Greater than 10 LPA ,Between 31-40,Between 10-20km,10-15 Years,3
Jolynn Behnecken,Female,Engineering,389300,Mumbai,Average,21,32,7.7,2LPA - 4LPA,Between 31-40,Greater than 20km,5-10 Years,3
Jordain Cyster,Female,Human Resources,570900,New Delhi,Very Poor,17,28,5.5,4LPA - 6LPA,Less than 30,Between 10-20km,5-10 Years,1
Joshi Bhushan Shrikant,Male,Product Management,1061700,Bengaluru,Poor,21,31,4.7,Greater than 10 LPA ,Between 31-40,Greater than 20km,2-5 Years,2
Joshi Rujuta Milind,Female,Human Resources,595500,Mumbai,Average,7,33,10.6,4LPA - 6LPA,Between 31-40,Less than 10km,10-15 Years,3
Juanita Trembey,Not Revealed,Product Management,899600,Bengaluru,Poor,20,29,6.1,8LPA - 10LPA,Less than 30,Between 10-20km,5-10 Years,2
Jugal Kishore Anantlal Choudhary,Male,Support,588500,Bengaluru,Poor,22,26,4.3,4LPA - 6LPA,Less than 30,Greater than 20km,2-5 Years,2
Juhi Ameta,Female,Product Management,682000,Bengaluru,Average,6,40,17.6,6LPA - 8LPA,Between 31-40,Less than 10km,15+ Years,3
Juhi Rajwani,Female,Marketing,901300,New Delhi,Good,19,36,7.5,8LPA - 10LPA,Between 31-40,Between 10-20km,5-10 Years,4
K Ramakrishna,Male,Services,450600,New Delhi,Good,16,34,11.6,4LPA - 6LPA,Between 31-40,Between 10-20km,10-15 Years,4
Kadam Komal Mohan,Female,Product Management,663700,Bengaluru,Average,4,39,1.1,6LPA - 8LPA,Between 31-40,Less than 10km,0-2 Years,3
Kai Ryder,Female,Services,858800,Mumbai,Good,15,32,1.8,8LPA - 10LPA,Between 31-40,Between 10-20km,0-2 Years,4
Kailas Vala,Male,Support,592600,Bengaluru,Poor,19,35,4.0,4LPA - 6LPA,Between 31-40,Between 10-20km,2-5 Years,2
Kaine Padly,Male,Legal,617900,Mumbai,Average,7,31,8.7,6LPA - 8LPA,Between 31-40,Less than 10km,5-10 Years,3
Kamal Das,Male,Training,481800,Mumbai,Good,2,35,9.4,4LPA - 6LPA,Between 31-40,Less than 10km,5-10 Years,4
Kamble Pratik Bibhishan,Male,Product Management,748000,Bengaluru,Very Poor,22,40,2.6,6LPA - 8LPA,Between 31-40,Greater than 20km,2-5 Years,1
Kamble Tushar Tanaji Vaishali,Male,Business Development,310200,Bengaluru,Average,27,29,7.3,2LPA - 4LPA,Less than 30,Greater than 20km,5-10 Years,3
Kapse Rohini Subhash,Female,Product Management,375500,Mumbai,Average,24,27,2.4,2LPA - 4LPA,Less than 30,Greater than 20km,2-5 Years,3
Karale Sonali Gowardhan,Female,Support,1188400,Mumbai,Not Rated,22,33,1.5,Greater than 10 LPA ,Between 31-40,Greater than 20km,0-2 Years,0
Karan Sehgal,Male,Human Resources,795700,New Delhi,Average,19,39,7.5,6LPA - 8LPA,Between 31-40,Between 10-20km,5-10 Years,3
Katey Cadany,Male,Business Development,940500,Bengaluru,Not Rated,21,34,0.3,8LPA - 10LPA,Between 31-40,Greater than 20km,0-2 Years,0
Katya Hundy,Male,Product Management,812600,Mumbai,Average,12,35,5.8,8LPA - 10LPA,Between 31-40,Between 10-20km,5-10 Years,3
Kay Edling,Male,Support,367100,Mumbai,Average,18,29,2.6,2LPA - 4LPA,Less than 30,Between 10-20km,2-5 Years,3
Kaye Crocroft,Male,Sales,983600,Mumbai,Very Poor,8,36,2.7,8LPA - 10LPA,Between 31-40,Less than 10km,2-5 Years,1
Kayley Southwell,Female,Human Resources,396800,Mumbai,Poor,10,37,12.7,2LPA - 4LPA,Between 31-40,Less than 10km,10-15 Years,2
Kelci Walkden,Male,Sales,1013900,New Delhi,Good,15,38,15.3,Greater than 10 LPA ,Between 31-40,Between 10-20km,15+ Years,4
Kelley Rounds,Female,Business Development,807000,Mumbai,Good,28,36,13.2,8LPA - 10LPA,Between 31-40,Greater than 20km,10-15 Years,4
Kellsie Waby,Male,Sales,780200,Bengaluru,Average,12,35,0.7,6LPA - 8LPA,Between 31-40,Between 10-20km,0-2 Years,3
Kerwin Blakely,Male,Support,1154900,Mumbai,Poor,1,38,1.5,Greater than 10 LPA ,Between 31-40,Less than 10km,0-2 Years,2
Khedkar Sagar Dnyandeo,Male,Product Management,1119100,Mumbai,Good,21,40,11.2,Greater than 10 LPA ,Between 31-40,Greater than 20km,10-15 Years,4
Khetre Subhash Namdev,Male,Services,1090500,New Delhi,Average,6,40,2.2,Greater than 10 LPA ,Between 31-40,Less than 10km,2-5 Years,3
Khyati Vidwans,Female,Services,1093800,New Delhi,Average,18,37,3.8,Greater than 10 LPA ,Between 31-40,Between 10-20km,2-5 Years,3
Kienan Epinay,Male,Research and Development,697100,New Delhi,Average,9,41,13.6,6LPA - 8LPA,Greater than 40,Less than 10km,10-15 Years,3
Kiran Uttam Nikam,Male,Support,300000,New Delhi,Average,28,39,1.2,2LPA - 4LPA,Between 31-40,Greater than 20km,0-2 Years,3
Kiran Wani,Male,Legal,576200,Bengaluru,Very Poor,14,40,2.2,4LPA - 6LPA,Between 31-40,Between 10-20km,2-5 Years,1
Kirti Dinkar More,Female,Training,1011900,Mumbai,Average,19,29,6.8,Greater than 10 LPA ,Less than 30,Between 10-20km,5-10 Years,3
Kissiah Maydway,Male,Legal,489800,Mumbai,Very Good,14,35,13.3,4LPA - 6LPA,Between 31-40,Between 10-20km,10-15 Years,5
Kolhar Shrikrishna Ulhas,Male,Legal,1158400,Bengaluru,Not Rated,8,27,5.9,Greater than 10 LPA ,Less than 30,Less than 10km,5-10 Years,0
Konstantin Timblett,Female,Accounting,454500,New Delhi,Very Good,8,30,7.7,4LPA - 6LPA,Less than 30,Less than 10km,5-10 Years,5
Konstanze Wyleman,Male,Support,541400,Mumbai,Average,9,40,13.9,4LPA - 6LPA,Between 31-40,Less than 10km,10-15 Years,3
Koral Gerriet,Male,Human Resources,1175200,New Delhi,Average,27,29,3.5,Greater than 10 LPA ,Less than 30,Greater than 20km,2-5 Years,3
Krishna Jyotreddy Maguluri,Male,Accounting,932100,Bengaluru,Poor,28,36,1.7,8LPA - 10LPA,Between 31-40,Greater than 20km,0-2 Years,2
Krishna Subudhi,Male,Support,1044700,Bengaluru,Not Rated,29,29,0.9,Greater than 10 LPA ,Less than 30,Greater than 20km,0-2 Years,0
Krishnamohan Menon,Male,Training,1108900,Mumbai,Poor,8,38,3.8,Greater than 10 LPA ,Between 31-40,Less than 10km,2-5 Years,2
Kristofor Powner,Male,Training,966600,New Delhi,Average,8,40,15.4,8LPA - 10LPA,Between 31-40,Less than 10km,15+ Years,3
Krystal Lambswood,Female,Services,1183600,New Delhi,Average,17,37,13.0,Greater than 10 LPA ,Between 31-40,Between 10-20km,10-15 Years,3
Kulkarni Manjiri Arvind,Female,Support,880300,Mumbai,Average,11,33,3.3,8LPA - 10LPA,Between 31-40,Between 10-20km,2-5 Years,3
Kumar Gaurav Sagar,Male,Product Management,878100,Mumbai,Not Rated,25,38,5.0,8LPA - 10LPA,Between 31-40,Greater than 20km,2-5 Years,0
L;urette Bontein,Male,Business Development,515200,Mumbai,Average,8,28,3.1,4LPA - 6LPA,Less than 30,Less than 10km,2-5 Years,3
Lahande Prathamesh Vijay,Male,Sales,602600,Mumbai,Not Rated,15,28,1.1,6LPA - 8LPA,Less than 30,Between 10-20km,0-2 Years,0
Lakshay Mehla,Male,Support,612100,New Delhi,Average,23,31,11.3,6LPA - 8LPA,Between 31-40,Greater than 20km,10-15 Years,3
Lane Monteaux,Female,Research and Development,527500,New Delhi,Average,29,30,7.7,4LPA - 6LPA,Less than 30,Greater than 20km,5-10 Years,3
Larissa Ingledow,Male,Product Management,472700,New Delhi,Average,8,31,2.6,4LPA - 6LPA,Between 31-40,Less than 10km,2-5 Years,3
Latika Kumari,Female,Sales,1180600,New Delhi,Good,25,32,1.7,Greater than 10 LPA ,Between 31-40,Greater than 20km,0-2 Years,4
Latisha Jolly,Female,Marketing,373600,Bengaluru,Average,24,39,15.8,2LPA - 4LPA,Between 31-40,Greater than 20km,15+ Years,3
Layton Kierans,Male,Business Development,665100,New Delhi,Average,2,38,17.2,6LPA - 8LPA,Between 31-40,Less than 10km,15+ Years,3
Leena Bruckshaw,Male,Marketing,295300,New Delhi,Very Poor,20,30,0.4,2LPA - 4LPA,Less than 30,Between 10-20km,0-2 Years,1
Leena Rakesh Jadhav,Female,Research and Development,604400,Bengaluru,Very Good,14,30,5.7,6LPA - 8LPA,Less than 30,Between 10-20km,5-10 Years,5
Leonidas Cavaney,Male,Engineering,905300,Bengaluru,Very Poor,20,41,9.9,8LPA - 10LPA,Greater than 40,Between 10-20km,5-10 Years,1
Leslie Cardoso,Female,Training,679500,New Delhi,Very Good,2,38,15.5,6LPA - 8LPA,Between 31-40,Less than 10km,15+ Years,5
Lia Lurner,Female,Accounting,1051200,New Delhi,Average,5,39,3.7,Greater than 10 LPA ,Between 31-40,Less than 10km,2-5 Years,3
Liji Ravindran,Female,Training,605700,Bengaluru,Good,23,31,1.0,6LPA - 8LPA,Between 31-40,Greater than 20km,0-2 Years,4
Lilyan Klimpt,Male,Training,1191100,New Delhi,Good,26,36,11.3,Greater than 10 LPA ,Between 31-40,Greater than 20km,10-15 Years,4
Lincoln Cord,Female,Services,1047700,New Delhi,Poor,10,38,1.4,Greater than 10 LPA ,Between 31-40,Less than 10km,0-2 Years,2
Lindi Morfey,Male,Sales,703600,Bengaluru,Average,5,27,0.9,6LPA - 8LPA,Less than 30,Less than 10km,0-2 Years,3
Linell Compfort,Female,Support,451100,Mumbai,Not Rated,1,28,2.0,4LPA - 6LPA,Less than 30,Less than 10km,0-2 Years,0
Lishe Casemore,Male,Business Development,336300,Mumbai,Poor,20,32,1.2,2LPA - 4LPA,Between 31-40,Between 10-20km,0-2 Years,2
Lisle Danahar,Not Revealed,Training,538700,Mumbai,Good,27,38,2.0,4LPA - 6LPA,Between 31-40,Greater than 20km,0-2 Years,4
Lissy McCoy,Female,Engineering,1111900,Bengaluru,Average,10,34,4.4,Greater than 10 LPA ,Between 31-40,Less than 10km,2-5 Years,3
Loitongbam Ashalata Devi�(Captain),Female,Legal,299700,New Delhi,Average,5,30,6.6,2LPA - 4LPA,Less than 30,Less than 10km,5-10 Years,3
Lokhande Ganesh Chandrakant,Male,Support,649600,Bengaluru,Average,15,36,13.0,6LPA - 8LPA,Between 31-40,Between 10-20km,10-15 Years,3
Lorain Tew,Female,Product Management,1112300,Mumbai,Average,18,39,5.9,Greater than 10 LPA ,Between 31-40,Between 10-20km,5-10 Years,3
Loralyn Bruton,Male,Sales,995300,Mumbai,Average,14,30,4.0,8LPA - 10LPA,Less than 30,Between 10-20km,2-5 Years,3
Loren Bentote,Male,Research and Development,359800,Bengaluru,Very Good,8,27,1.4,2LPA - 4LPA,Less than 30,Less than 10km,0-2 Years,5
Louise Lamming,Female,Marketing,657000,Mumbai,Very Poor,11,30,6.2,6LPA - 8LPA,Less than 30,Between 10-20km,5-10 Years,1
Luca Wolstenholme,Male,Services,1091700,Bengaluru,Good,3,34,7.8,Greater than 10 LPA ,Between 31-40,Less than 10km,5-10 Years,4
Lucias Minico,Female,Support,950200,Bengaluru,Average,2,36,14.8,8LPA - 10LPA,Between 31-40,Less than 10km,10-15 Years,3
Ludovika Plaice,Male,Product Management,872900,New Delhi,Good,26,34,6.5,8LPA - 10LPA,Between 31-40,Greater than 20km,5-10 Years,4
Madge McCloughen,Not Revealed,Engineering,971100,Mumbai,Average,1,27,6.9,8LPA - 10LPA,Less than 30,Less than 10km,5-10 Years,3
Madhura Amarish Ayachit,Female,Research and Development,594300,Bengaluru,Average,15,37,6.3,4LPA - 6LPA,Between 31-40,Between 10-20km,5-10 Years,3
Maggee Stiggles,Female,Marketing,1121200,Bengaluru,Average,11,35,4.7,Greater than 10 LPA ,Between 31-40,Between 10-20km,2-5 Years,3
Maggie Ruberti,Male,Research and Development,281600,Mumbai,Not Rated,12,26,4.2,2LPA - 4LPA,Less than 30,Between 10-20km,2-5 Years,0
Magnum Locksley,Female,Legal,758700,Bengaluru,Average,19,35,11.2,6LPA - 8LPA,Between 31-40,Between 10-20km,10-15 Years,3
Mahajan Abha Ajay,Female,Support,932700,Bengaluru,Average,15,26,0.2,8LPA - 10LPA,Less than 30,Between 10-20km,0-2 Years,3
Mahantesh M Patil,Male,Training,427300,Bengaluru,Average,6,38,13.4,4LPA - 6LPA,Between 31-40,Less than 10km,10-15 Years,3
Mahesh Renguntwar,Male,Services,806100,Mumbai,Average,6,29,5.3,8LPA - 10LPA,Less than 30,Less than 10km,5-10 Years,3
Maibam Linthoingambi Devi,Female,Services,690600,Bengaluru,Very Poor,22,39,14.1,6LPA - 8LPA,Between 31-40,Greater than 20km,10-15 Years,1
Major O'Cahsedy,Female,Product Management,312800,Mumbai,Average,16,26,5.8,2LPA - 4LPA,Less than 30,Between 10-20km,5-10 Years,3
Malekar Rajeshwari Rajanish,Female,Business Development,966100,New Delhi,Very Good,12,30,9.6,8LPA - 10LPA,Less than 30,Between 10-20km,5-10 Years,5
Mallory Goldsberry,Male,Business Development,370200,New Delhi,Average,24,35,2.7,2LPA - 4LPA,Between 31-40,Greater than 20km,2-5 Years,3
Malory Biles,Female,Training,549700,Bengaluru,Average,6,40,3.3,4LPA - 6LPA,Between 31-40,Less than 10km,2-5 Years,3
Mandle Satyajeet Balram,Male,Services,419100,Bengaluru,Poor,28,30,2.9,4LPA - 6LPA,Less than 30,Greater than 20km,2-5 Years,2
Mane Aishwarya Rajaram,Female,Support,1169700,Mumbai,Very Good,17,28,6.9,Greater than 10 LPA ,Less than 30,Between 10-20km,5-10 Years,5
Mane Shilpkala Tulashiram,Female,Human Resources,863900,Mumbai,Good,18,40,19.7,8LPA - 10LPA,Between 31-40,Between 10-20km,15+ Years,4
Manesh. M,Male,Services,811500,Mumbai,Not Rated,19,36,2.6,8LPA - 10LPA,Between 31-40,Between 10-20km,2-5 Years,0
Manish Chaturvedi,Male,Accounting,718200,New Delhi,Average,14,36,6.7,6LPA - 8LPA,Between 31-40,Between 10-20km,5-10 Years,3
Manish Kumar Tamrakar,Male,Research and Development,854600,New Delhi,Average,21,40,8.9,8LPA - 10LPA,Between 31-40,Greater than 20km,5-10 Years,3
Manisha Kalyan,Female,Business Development,911900,Bengaluru,Poor,9,34,4.9,8LPA - 10LPA,Between 31-40,Less than 10km,2-5 Years,2
Manisha Sahay,Female,Support,931600,Bengaluru,Average,25,26,4.5,8LPA - 10LPA,Less than 30,Greater than 20km,2-5 Years,3
Manisha Solanki,Female,Marketing,1109500,New Delhi,Poor,29,31,0.1,Greater than 10 LPA ,Between 31-40,Greater than 20km,0-2 Years,2
Manjit Samal,Female,Product Management,359900,Mumbai,Average,11,34,4.7,2LPA - 4LPA,Between 31-40,Between 10-20km,2-5 Years,3
Manolo Gasnell,Male,Engineering,399700,New Delhi,Average,18,39,13.1,2LPA - 4LPA,Between 31-40,Between 10-20km,10-15 Years,3
Mansi Joshi,Female,Training,795200,New Delhi,Average,10,31,3.2,6LPA - 8LPA,Between 31-40,Less than 10km,2-5 Years,3
Manwani Vandana Tulsidas,Female,Legal,521200,Mumbai,Poor,8,29,1.3,4LPA - 6LPA,Less than 30,Less than 10km,0-2 Years,2
Marathe Vikas Ramchandra,Male,Support,600100,Bengaluru,Average,6,40,1.0,6LPA - 8LPA,Between 31-40,Less than 10km,0-2 Years,3
Marcia Muldrew,Female,Accounting,354400,Mumbai,Good,29,39,6.7,2LPA - 4LPA,Between 31-40,Greater than 20km,5-10 Years,4
Marco Wooland,Female,Legal,1056100,Bengaluru,Poor,22,34,2.9,Greater than 10 LPA ,Between 31-40,Greater than 20km,2-5 Years,2
Margit Kunze,Male,Accounting,1132800,Mumbai,Good,22,28,3.5,Greater than 10 LPA ,Less than 30,Greater than 20km,2-5 Years,4
Margot Royds,Female,Engineering,419800,Bengaluru,Average,19,28,5.2,4LPA - 6LPA,Less than 30,Between 10-20km,5-10 Years,3
Mariann Mowat,Male,Business Development,1036700,Bengaluru,Average,10,39,15.4,Greater than 10 LPA ,Between 31-40,Less than 10km,15+ Years,3
Marissa Infante,Not Revealed,Services,896900,New Delhi,Good,1,41,20.4,8LPA - 10LPA,Greater than 40,Less than 10km,15+ Years,4
Marjie Bamford,Male,Research and Development,876200,Mumbai,Good,22,27,0.7,8LPA - 10LPA,Less than 30,Greater than 20km,0-2 Years,4
Marline Wahncke,Male,Research and Development,482500,New Delhi,Poor,19,36,7.3,4LPA - 6LPA,Between 31-40,Between 10-20km,5-10 Years,2
Marmaduke Worssam,Female,Marketing,857800,Mumbai,Poor,11,32,5.0,8LPA - 10LPA,Between 31-40,Between 10-20km,2-5 Years,2
Martita Beaumont,Male,Sales,540100,New Delhi,Poor,25,38,6.4,4LPA - 6LPA,Between 31-40,Greater than 20km,5-10 Years,2
Mata Fishley,Male,Research and Development,310200,Mumbai,Average,20,34,4.3,2LPA - 4LPA,Between 31-40,Between 10-20km,2-5 Years,3
Mayur Mukund Gaikwad,Male,Product Management,754800,New Delhi,Average,1,39,15.3,6LPA - 8LPA,Between 31-40,Less than 10km,15+ Years,3
Meenakshi Nayak,Female,Human Resources,935000,Mumbai,Average,23,40,0.7,8LPA - 10LPA,Between 31-40,Greater than 20km,0-2 Years,3
Megha Maheshwari,Female,Services,986300,Bengaluru,Good,5,33,11.8,8LPA - 10LPA,Between 31-40,Less than 10km,10-15 Years,4
Mehak Varmani,Male,Services,763900,Bengaluru,Average,16,29,0.2,6LPA - 8LPA,Less than 30,Between 10-20km,0-2 Years,3
Mehta Karan Atulkumar,Male,Marketing,680100,Mumbai,Average,28,40,18.5,6LPA - 8LPA,Between 31-40,Greater than 20km,15+ Years,3
Melisa Knott,Female,Human Resources,580300,New Delhi,Good,2,40,17.0,4LPA - 6LPA,Between 31-40,Less than 10km,15+ Years,4
Melodie Torresi,Female,Training,593000,New Delhi,Good,29,34,13.4,4LPA - 6LPA,Between 31-40,Greater than 20km,10-15 Years,4
Merrel Blind,Female,Product Management,518000,Mumbai,Average,9,30,8.8,4LPA - 6LPA,Less than 30,Less than 10km,5-10 Years,3
Meryl Waggatt,Female,Accounting,579300,Mumbai,Very Good,1,33,0.4,4LPA - 6LPA,Between 31-40,Less than 10km,0-2 Years,5
Michaella Perri,Male,Engineering,405300,Bengaluru,Average,4,32,11.0,4LPA - 6LPA,Between 31-40,Less than 10km,10-15 Years,3
Michale Rolf,Male,Research and Development,482900,New Delhi,Average,17,35,7.4,4LPA - 6LPA,Between 31-40,Between 10-20km,5-10 Years,3
Michelle Margaret Castanha,Female,Support,637200,New Delhi,Very Good,11,41,10.4,6LPA - 8LPA,Greater than 40,Between 10-20km,10-15 Years,5
Mickey Pybus,Male,Sales,845000,New Delhi,Average,28,30,2.2,8LPA - 10LPA,Less than 30,Greater than 20km,2-5 Years,3
Milind Ashok Natu,Male,Accounting,674300,New Delhi,Average,4,27,5.9,6LPA - 8LPA,Less than 30,Less than 10km,5-10 Years,3
Milind Baliram Bhore,Male,Support,1091200,New Delhi,Not Rated,25,30,4.4,Greater than 10 LPA ,Less than 30,Greater than 20km,2-5 Years,0
Milind Girdhar Talele,Male,Business Development,697600,New Delhi,Average,5,38,10.9,6LPA - 8LPA,Between 31-40,Less than 10km,10-15 Years,3
Milind Vijay Parse,Male,Services,456000,New Delhi,Not Rated,12,37,3.8,4LPA - 6LPA,Between 31-40,Between 10-20km,2-5 Years,0
Millie Fiveash,Female,Business Development,330300,Bengaluru,Good,25,30,7.0,2LPA - 4LPA,Less than 30,Greater than 20km,5-10 Years,4
Milton Lilie,Female,Business Development,801700,Bengaluru,Average,11,34,12.7,8LPA - 10LPA,Between 31-40,Between 10-20km,10-15 Years,3
Mithali Raj,Female,Training,435100,New Delhi,Average,26,39,8.2,4LPA - 6LPA,Between 31-40,Greater than 20km,5-10 Years,3
Mitragotri Pallavi Hrishikesh,Female,Sales,493900,Bengaluru,Average,17,28,8.2,4LPA - 6LPA,Less than 30,Between 10-20km,5-10 Years,3
Mohammad Alimullah Anwar,Male,Research and Development,479100,New Delhi,Average,14,28,2.1,4LPA - 6LPA,Less than 30,Between 10-20km,2-5 Years,3
Mohammad Bilal Tayeb,Male,Sales,357400,New Delhi,Good,6,38,7.2,2LPA - 4LPA,Between 31-40,Less than 10km,5-10 Years,4
Mohammad Salim,Male,Support,422400,Mumbai,Very Good,5,30,3.6,4LPA - 6LPA,Less than 30,Less than 10km,2-5 Years,5
Mohammad Shah Omid,Male,Services,1171500,Bengaluru,Average,12,41,1.4,Greater than 10 LPA ,Greater than 40,Between 10-20km,0-2 Years,3
Mohanish Shah,Male,Engineering,365400,New Delhi,Good,26,35,3.0,2LPA - 4LPA,Between 31-40,Greater than 20km,2-5 Years,4
Mona Meshram,Female,Research and Development,872900,New Delhi,Good,26,29,6.8,8LPA - 10LPA,Less than 30,Greater than 20km,5-10 Years,4
Monali Ramesh Sonawane,Female,Research and Development,857200,Mumbai,Average,25,35,4.2,8LPA - 10LPA,Between 31-40,Greater than 20km,2-5 Years,3
Monica Chouksey,Female,Engineering,346200,New Delhi,Very Good,14,37,12.9,2LPA - 4LPA,Between 31-40,Between 10-20km,10-15 Years,5
Monika Diwakar,Female,Training,626900,Bengaluru,Poor,3,37,3.2,6LPA - 8LPA,Between 31-40,Less than 10km,2-5 Years,2
Monti Burdus,Female,Research and Development,302500,New Delhi,Average,27,32,3.4,2LPA - 4LPA,Between 31-40,Greater than 20km,2-5 Years,3
Moore Gligoraci,Female,Business Development,295300,Bengaluru,Not Rated,27,27,5.4,2LPA - 4LPA,Less than 30,Greater than 20km,5-10 Years,0
Mord Cromblehome,Male,Business Development,1031600,New Delhi,Good,3,39,0.6,Greater than 10 LPA ,Between 31-40,Less than 10km,0-2 Years,4
More Ranjeet Dattatraya,Male,Legal,1097900,New Delhi,Average,19,27,1.9,Greater than 10 LPA ,Less than 30,Between 10-20km,0-2 Years,3
Mounika P A,Female,Accounting,337600,Mumbai,Average,1,39,5.6,2LPA - 4LPA,Between 31-40,Less than 10km,5-10 Years,3
Mrinmoy Chakraborty,Male,Legal,367400,New Delhi,Average,21,39,3.5,2LPA - 4LPA,Between 31-40,Greater than 20km,2-5 Years,3
Mukesh Kumar,Male,Product Management,312400,Mumbai,Poor,16,35,9.9,2LPA - 4LPA,Between 31-40,Between 10-20km,5-10 Years,2
Mukti Prakash Behera,Male,Legal,757300,New Delhi,Not Rated,1,26,5.1,6LPA - 8LPA,Less than 30,Less than 10km,5-10 Years,0
Muneshwar Rajesh Niranjan,Male,Engineering,508600,Mumbai,Not Rated,16,36,15.6,4LPA - 6LPA,Between 31-40,Between 10-20km,15+ Years,0
Murial Ickovici,Female,Services,842000,Mumbai,Good,27,30,9.5,8LPA - 10LPA,Less than 30,Greater than 20km,5-10 Years,4
Musale Shilpa Madhukar,Female,Legal,959800,Bengaluru,Average,21,39,2.8,8LPA - 10LPA,Between 31-40,Greater than 20km,2-5 Years,3
Nananne Gehringer,Not Revealed,Product Management,659200,New Delhi,Good,5,40,4.2,6LPA - 8LPA,Between 31-40,Less than 10km,2-5 Years,4
Nanice Boatwright,Not Revealed,Legal,1136200,Bengaluru,Poor,2,37,1.7,Greater than 10 LPA ,Between 31-40,Less than 10km,0-2 Years,2
Nannaware Shatabdi Chandramani,Female,Sales,601400,Mumbai,Average,8,36,2.2,6LPA - 8LPA,Between 31-40,Less than 10km,2-5 Years,3
Naoma Cruse,Male,Research and Development,924500,New Delhi,Not Rated,15,39,1.4,8LPA - 10LPA,Between 31-40,Between 10-20km,0-2 Years,0
Napte Kiran Malhari,Male,Human Resources,346500,Mumbai,Average,13,37,6.6,2LPA - 4LPA,Between 31-40,Between 10-20km,5-10 Years,3
Narasimha Rao N,Male,Services,847400,Bengaluru,Average,9,39,7.9,8LPA - 10LPA,Between 31-40,Less than 10km,5-10 Years,3
Narendra Babu Bommenahalli Veerabhadrappa,Male,Business Development,883600,Bengaluru,Average,4,26,2.0,8LPA - 10LPA,Less than 30,Less than 10km,0-2 Years,3
Naresh Kumar,Male,Services,1162200,Bengaluru,Poor,15,30,6.9,Greater than 10 LPA ,Less than 30,Between 10-20km,5-10 Years,2
Neelam,Female,Services,1068900,New Delhi,Average,7,35,13.4,Greater than 10 LPA ,Between 31-40,Less than 10km,10-15 Years,3
Neeti Gupta,Female,Marketing,1074400,New Delhi,Poor,21,31,1.7,Greater than 10 LPA ,Between 31-40,Greater than 20km,0-2 Years,2
Neha Dhruv Agarwal,Female,Human Resources,298100,New Delhi,Average,18,29,0.7,2LPA - 4LPA,Less than 30,Between 10-20km,0-2 Years,3
Neha Poddar,Female,Training,1053300,Bengaluru,Poor,29,40,3.9,Greater than 10 LPA ,Between 31-40,Greater than 20km,2-5 Years,2
Neha Saini,Female,Legal,431100,Bengaluru,Average,6,40,9.6,4LPA - 6LPA,Between 31-40,Less than 10km,5-10 Years,3
Nema Kumari,Female,Support,526300,Mumbai,Average,1,31,7.8,4LPA - 6LPA,Between 31-40,Less than 10km,5-10 Years,3
Nerissa Kavanagh,Male,Sales,463500,New Delhi,Average,15,36,15.5,4LPA - 6LPA,Between 31-40,Between 10-20km,15+ Years,3
